SxP,Cavi-Target,0,0,-1,-1,-1
DxP,Cavi-Target,1,1,-1,-1,-1
DxC,Cavi-Target,2,2,-1,-1,-1
SxC,Cavi-Target,3,3,-1,-1,-1
MidDX,Cavi-Target,4,4,-1,-1,-1
MidDX,Cavi-Target,5,5,-1,-1,-1
Argon,Cavi-Gas,-1,-1,0,0,-1
Arzoto,Cavi-Gas,-1,-1,1,1,-1
Aceti,Cavi-Gas,-1,-1,2,2,-1
Penn,Cavi-Gas,-1,-1,-1,-1,0
Baratron,Cavi-Gas,-1,-1,-1,3,1
Venting,Cavi-Gas,-1,-1,-1,4,-1
